Harvests;Plots;Replicates;Hybrids;yd;wb
Yr3;1188;8;H118;12.74;0
Yr3;1189;9;H118;10.08666667;0
Yr3;1201;1;H120;28.15;0
Yr3;1202;2;H120;17.81;1
Yr3;1203;3;H120;24.57666667;0
Yr3;1204;4;H120;40.92666667;0
Yr3;1205;5;H120;25.07333333;0
Yr3;1211;1;H121;14.25;0
Yr3;1212;2;H121;37.97333333;0
Yr3;1213;3;H121;27.42666667;0
Yr3;1214;4;H121;17.24;0
Yr3;1215;5;H121;4.953333333;0
Yr3;1216;6;H121;12.60666667;0
Yr3;1217;7;H121;4.606666667;0
Yr3;1218;8;H121;15.46333333;0
Yr3;1219;9;H121;25.79666667;0
Yr3;1231;1;H123;22.00333333;0
Yr3;1232;2;H123;16.04666667;0
Yr3;1233;3;H123;4.25;0
Yr3;1234;4;H123;11.64;0
Yr3;1235;5;H123;16.03;0
Yr3;1236;6;H123;8.293333333;0
Yr3;1237;7;H123;7.58;0
Yr3;1238;8;H123;8.026666667;0
Yr3;1239;9;H123;2.98;0
Yr3;1241;1;H124;20.20666667;0
Yr3;1242;2;H124;35.89;0
Yr3;1243;3;H124;23.19;0
Yr3;1244;4;H124;19.09;0
Yr3;1245;5;H124;31.43333333;0
Yr3;1246;6;H124;14.74;0
Yr3;1247;7;H124;16.39333333;0
Yr3;1248;8;H124;11.61666667;0
Yr3;1249;9;H124;20.15;0
Yr3;1256;6;H125;48.23;0
Yr3;1257;7;H125;33.67;0
Yr3;1258;8;H125;16.85666667;0
Yr3;1259;9;H125;14.76333333;0
Yr3;1266;6;H126;14.26;0
Yr3;1267;7;H126;19.96333333;0
Yr3;1268;8;H126;5.34;0
Yr3;1269;9;H126;18.6;1
Yr3;1271;1;H127;24.44;0
Yr3;1272;2;H127;20.86;0
Yr3;1273;3;H127;26.41;0
Yr3;1274;4;H127;19.88666667;0
Yr3;1275;5;H127;17.77333333;0
Yr3;1276;6;H127;26.44;0
Yr3;1277;7;H127;24.65;0
Yr3;1278;8;H127;19.26666667;0
Yr3;1279;9;H127;30.49666667;0
Yr3;1281;1;H128;21.51;0
Yr3;1282;2;H128;17.68;0
Yr3;1283;3;H128;4.546666667;0
Yr3;1284;4;H128;16.25666667;0
Yr3;1285;5;H128;22.65333333;0
Yr3;1291;1;H129;20.79;0
Yr3;1292;2;H129;22.01333333;0
Yr3;1293;3;H129;17.32666667;0
Yr3;1294;4;H129;22.64;0
Yr3;1295;5;H129;23.34333333;0
Yr3;1301;1;H130;27.62;0
Yr3;1302;2;H130;17.38;0
Yr3;1303;3;H130;26.39333333;0
Yr3;1304;4;H130;27.93333333;0
Yr3;1305;5;H130;9.493333333;0
Yr3;1306;6;H130;28.06666667;0
Yr3;1307;7;H130;13.62;0
Yr3;1308;8;H130;23.48666667;0
Yr3;1309;9;H130;13.26;0
Yr3;1311;1;H131;41.99333333;0
Yr3;1312;2;H131;18.66666667;0
Yr3;1313;3;H131;8.756666667;0
Yr3;1314;4;H131;25.06;0
Yr3;1315;5;H131;37.08666667;0
Yr3;1316;6;H131;26.89;0
Yr3;1317;7;H131;15.365;0
Yr3;1318;8;H131;18.81;0
Yr3;1319;9;H131;12.80666667;0
Yr3;1321;1;H132;34.99333333;0
Yr3;1322;2;H132;17.43;0
Yr3;1323;3;H132;10.21666667;0
Yr3;1324;4;H132;16.11;0
Yr3;1325;5;H132;26.235;0
Yr3;1326;6;H132;14.25666667;0
Yr3;1327;7;H132;21.50666667;0
Yr3;1328;8;H132;14.63666667;0
Yr3;1329;9;H132;5.07;0
Yr3;1331;1;H133;19.28;0
Yr3;1332;2;H133;20.35;0
Yr3;1333;3;H133;22.89666667;0
Yr3;1334;4;H133;15.25;0
Yr3;1335;5;H133;22.17666667;0
Yr3;1346;6;H134;15.73333333;0
Yr3;1347;7;H134;13.89666667;0
Yr3;1348;8;H134;22.72;0
Yr3;1349;9;H134;26.60666667;0
Yr3;1351;1;H135;15.66333333;0
Yr3;1352;2;H135;31.03333333;0
Yr3;1353;3;H135;31.24666667;0
Yr3;1354;4;H135;12.56;0
Yr3;1355;5;H135;21.27666667;0
Yr3;1356;6;H135;15.16333333;0
Yr3;1357;7;H135;23.91666667;0
Yr3;1358;8;H135;29.14666667;0
Yr3;1359;9;H135;16.08666667;0
Yr3;1361;1;H136;17.26;0
Yr3;1362;2;H136;8.98;0
Yr3;1363;3;H136;8.346666667;0
Yr3;1364;4;H136;20.47;0
Yr3;1365;5;H136;40.115;0
Yr3;1366;6;H136;15.26333333;0
Yr3;1367;7;H136;16.27666667;0
Yr3;1368;8;H136;6.5;0
Yr3;1369;9;H136;30.97333333;0
Yr3;1371;1;H137;27.48666667;0
Yr3;1372;2;H137;29.9;0
Yr3;1373;3;H137;20.43666667;0
Yr3;1374;4;H137;24.22333333;0
Yr3;1375;5;H137;31.99333333;0
Yr3;1376;6;H137;23.55333333;0
Yr3;1377;7;H137;7.85;0
Yr3;1378;8;H137;27.14;0
Yr3;1379;9;H137;23.08;0
Yr3;1381;1;H138;19.25333333;0
Yr3;1382;2;H138;23.51666667;0
Yr3;1383;3;H138;24.42666667;0
Yr3;1384;4;H138;20.96333333;0
Yr3;1385;5;H138;18.95333333;0
Yr3;1386;6;H138;21.64666667;1
Yr3;1387;7;H138;28.40333333;0
Yr3;1388;8;H138;23.62333333;0
Yr3;1389;9;H138;18.53;0
Yr3;1401;1;H140;22.94;0
Yr3;1402;2;H140;42.95666667;0
Yr3;1403;3;H140;28.11666667;0
Yr3;1404;4;H140;33.84333333;0
Yr3;1405;5;H140;16.92;0
Yr3;1436;6;H143;28.71666667;0
Yr3;1437;7;H143;13.71666667;0
Yr3;1438;8;H143;9.05;0
Yr3;1439;9;H143;22.38333333;0
Yr3;1446;6;H144;21.90333333;0
Yr3;1447;7;H144;20.26666667;0
Yr3;1448;8;H144;22.33666667;0
Yr3;1449;9;H144;16.41;0
Yr3;1491;1;H149;20.69666667;0
Yr3;1492;2;H149;28.84333333;0
Yr3;1493;3;H149;20.15;0
Yr3;1494;4;H149;29.53;0
Yr3;1495;5;H149;29.66;0
Yr3;1506;6;H150;19.68;0
Yr3;1507;7;H150;17.77333333;0
Yr3;1508;8;H150;22.37333333;1
Yr3;1509;9;H150;22.31666667;0
Yr3;1521;1;H152;18.93333333;0
Yr3;1522;2;H152;21.365;0
Yr3;1523;3;H152;27.85333333;0
Yr3;1524;4;H152;11.38333333;0
Yr3;1525;5;H152;22.89666667;0
Yr3;1526;6;H152;23.62666667;0
Yr3;1527;7;H152;6.39;0
Yr3;1528;8;H152;38.565;0
Yr3;1529;9;H152;11.14;0
Yr3;1571;1;H157;28.80333333;0
Yr3;1572;2;H157;10.16;0
Yr3;1573;3;H157;10.84333333;0
Yr3;1574;4;H157;10.99666667;0
Yr3;1575;5;H157;30;0
Yr3;1611;1;H161;19.57;1
Yr3;1612;2;H161;26.18;0
